Area Type,Area,Area Name,Standard Occupational Code,Occupational Title,Employment,Mean Wage,Median Wage,Entry Wage,Experienced Wage
10,4,Hudson Valley Region, 27-3012, Public Address System and Other Announcers,n/a,42060,30100,28830,48680
10,10,Western New York Region, 51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",490,40850,40800,29860,46350
10,5,Long Island Region, 43-4051, Customer Service Representatives,24840,43750,40750,27960,51640
10,1,Capital Region, 51-3022," Meat, Poultry, and Fish Cutters and Trimmers",110,34730,35100,24590,39790
10,1,Capital Region, 31-1013, Psychiatric Aides,310,39250,38750,29640,44050
10,7,New York City Region, 51-2028,,820,33250,30030,24960,38610
10,7,New York City Region, 41-3099," Sales Representatives, Services, All Other",38490,86190,71440,39830,109370
10,5,Long Island Region, 39-5011, Barbers,n/a,23660,23850,23560,23710
10,9,Southern Tier Region, 11-9141,"Property, Real Estate, and Community Association Managers",60,102990,94250,60430,124270
10,3,Finger Lakes Region, 51-4194," Tool Grinders, Filers, and Sharpeners",n/a,46270,40260,26860,55980
10,10,Western New York Region, 13-2071, Credit Counselors,120,49610,42270,33990,57420
10,5,Long Island Region, 31-2011, Occupational Therapy Assistants,300,64680,66990,50660,71690
10,7,New York City Region, 13-2031, Budget Analysts,1440,81520,77470,57120,93720
10,10,Western New York Region, 27-1026, Merchandise Displayers and Window Trimmers,n/a,35440,29020,22480,41920
10,4,Hudson Valley Region, 43-5051, Postal Service Clerks,860,53940,59940,41060,60380
10,9,Southern Tier Region, 43-5061," Production, Planning, and Expediting Clerks",860,49770,47390,32510,58400
10,10,Western New York Region, 11-3071,"Transportation, Storage, and Distribution Managers",250,103290,102650,65880,122000
10,7,New York City Region, 29-2081," Opticians, Dispensing",750,52350,55660,28880,64080
10,1,Capital Region, 29-2033, Nuclear Medicine Technologists,50,85030,84070,70890,92090
10,4,Hudson Valley Region, 53-3021," Bus Drivers, Transit and Intercity",1680,50910,46010,33740,59490
10,8,North Country Region, 43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",180,41820,42570,30490,47480
10,9,Southern Tier Region, 51-9123," Painting, Coating, and Decorating Workers",60,34790,32800,27750,38300
10,2,Central New York Region, 43-9111, Statistical Assistants,n/a,57550,56470,43060,64790
1,36,New York State, 17-3027, Mechanical Engineering Technicians,1580,61350,56890,40000,72020
10,3,Finger Lakes Region, 25-9011,Audio-Visual and Multimedia Collections Specialists,180,37100,32610,27780,41770
10,3,Finger Lakes Region, 29-2071,Medical Records and Health Information Technicians,590,43620,41960,28350,51260
10,8,North Country Region, 51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",40,35040,32330,25930,39590
10,9,Southern Tier Region, 21-0000,Community and Social Service Occupations,5750,48320,45480,30090,57430
10,7,New York City Region, 53-7064," Packers and Packagers, Hand",9610,26780,24960,24960,29570
10,2,Central New York Region, 13-1161,Market Research Analysts and Marketing Specialists,950,72820,64310,41820,88310
10,8,North Country Region, 21-1092,Probation Officers and Correctional Treatment Specialists,290,64790,64970,51630,71380
1,36,New York State, 39-6011, Baggage Porters and Bellhops,4270,33080,30000,22720,38260
1,36,New York State, 51-9193,Cooling and Freezing Equipment Operators and Tenders,270,34240,32030,24440,39150
10,4,Hudson Valley Region, 33-9091, Crossing Guards,510,38170,37800,25710,44400
10,4,Hudson Valley Region, 19-0000,"Life, Physical, and Social Science Occupations",8100,82070,74850,45720,100240
10,8,North Country Region, 29-1126, Respiratory Therapists,80,67030,65830,57230,71930
10,2,Central New York Region, 47-4011, Construction and Building Inspectors,290,59960,56560,41270,69310
1,36,New York State, 25-1199,"Postsecondary Teachers, All Other",6150,105520,88180,52670,131940
10,4,Hudson Valley Region, 21-1094, Community Health Workers,870,43370,40770,29870,50110
10,8,North Country Region, 47-2051, Cement Masons and Concrete Finishers,40,44570,38590,30980,51370
10,5,Long Island Region, 29-2054, Respiratory Therapy Technicians,n/a,62310,67690,43940,71490
10,4,Hudson Valley Region, 15-2041, Statisticians,n/a,93240,93000,68600,105550
1,36,New York State, 11-1031, Legislators,6310,92540,93810,81980,97830
10,5,Long Island Region, 51-9111,Packaging and Filling Machine Operators and Tenders,3560,29840,26080,22880,33650
10,4,Hudson Valley Region, 51-4061," Model Makers, Metal and Plastic",n/a,86310,85380,73540,92690
10,8,North Country Region, 19-0000,"Life, Physical, and Social Science Occupations",930,59860,58970,31820,73880
10,8,North Country Region, 33-3021, Detectives and Criminal Investigators,370,87980,84150,68690,97630
10,4,Hudson Valley Region, 13-2051, Financial Analysts,1440,136260,103900,64410,172180
10,6,Mohawk Valley Region, 31-9093, Medical Equipment Preparers,110,31990,30260,25150,35420
10,3,Finger Lakes Region, 47-4011, Construction and Building Inspectors,360,54930,52470,39660,62570
1,36,New York State, 49-3021, Automotive Body and Related Repairers,7200,45720,44050,28960,54100
1,36,New York State, 49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",18500,58570,56220,38120,68790
10,6,Mohawk Valley Region, 25-1066," Psychology Teachers, Postsecondary",120,66220,62640,50030,74320
10,3,Finger Lakes Region, 29-1011, Chiropractors,150,75460,67700,58390,84000
10,1,Capital Region, 49-9094, Locksmiths and Safe Repairers,n/a,40880,42370,30470,46090
10,7,New York City Region, 39-9032, Recreation Workers,13930,35640,32720,24960,41780
10,3,Finger Lakes Region, 49-2097,Electronic Home Entertainment Equipment Installers and Repairers,n/a,39470,40510,29070,44670
10,3,Finger Lakes Region, 45-0000,"Farming, Fishing, and Forestry Occupations",390,35120,32220,23670,40850
10,4,Hudson Valley Region, 25-2011," Preschool Teachers, Except Special Education",4620,43940,30470,22240,54790
10,2,Central New York Region, 41-2022, Parts Salespersons,880,35200,32090,23940,40830
10,3,Finger Lakes Region, 53-3022," Bus Drivers, School or Special Client",4360,36330,33700,25820,41590
10,7,New York City Region, 25-1082," Library Science Teachers, Postsecondary",300,84110,82160,65170,93580
10,7,New York City Region, 31-2012, Occupational Therapy Aides,n/a,32590,29810,24960,36780
10,5,Long Island Region, 53-3041, Taxi Drivers and Chauffeurs,2310,31780,25830,22880,36960
10,9,Southern Tier Region, 51-9071, Jewelers and Precious Stone and Metal Workers,n/a,47070,47960,39620,50790
10,5,Long Island Region, 29-1199,"Health Diagnosing and Treating Practitioners, All Other",210,72330,67030,45050,85980
10,2,Central New York Region, 17-3025, Environmental Engineering Technicians,80,48790,48220,31980,57200
10,10,Western New York Region, 17-2041,Chemical Engineers,150,100400,83110,70310,115450
10,6,Mohawk Valley Region, 25-1071," Health Specialties Teachers, Postsecondary",170,75470,69240,46390,90010
10,10,Western New York Region, 35-2011," Cooks, Fast Food",650,23940,22980,21632,25280
1,36,New York State, 49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,13740,55800,54690,37040,65180
10,5,Long Island Region, 27-1029," Designers, All Other",n/a,60140,57930,38300,71060
10,4,Hudson Valley Region, 13-1020,Buyers and Purchasing Agents,2000,76740,72580,44130,93040
10,6,Mohawk Valley Region, 41-9099," Sales and Related Workers, All Other",n/a,34210,27760,22570,40030
10,1,Capital Region, 43-9011, Computer Operators,320,50770,50190,34940,58680
10,8,North Country Region, 49-3093, Tire Repairers and Changers,90,29910,29450,25920,31900
10,5,Long Island Region, 39-4021, Funeral Attendants,350,27750,27570,22880,30780
10,9,Southern Tier Region, 43-3021, Billing and Posting Clerks,750,35740,34740,27690,39770
10,3,Finger Lakes Region, 29-1061, Anesthesiologists,n/a,280960,,,
10,2,Central New York Region, 39-9031, Fitness Trainers and Aerobics Instructors,880,40640,35320,21632,50340
10,1,Capital Region, 35-2015," Cooks, Short Order",880,24510,21940,21632,26330
10,10,Western New York Region, 53-6099," Transportation Workers, All Other",n/a,36220,30010,24190,42230
10,1,Capital Region, 51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",80,32040,28880,22980,36570
1,36,New York State, 47-5051," Rock Splitters, Quarry",n/a,36190,33250,28610,39970
10,7,New York City Region, 11-9021, Construction Managers,6550,129440,118540,73810,157250
10,4,Hudson Valley Region, 21-1029,"Social Workers, All Other",1210,69820,73450,45560,81950
10,3,Finger Lakes Region, 17-2199," Engineers, All Other",480,83630,79480,61170,94860
10,5,Long Island Region, 47-4031, Fence Erectors,n/a,27540,23910,22880,30000
10,4,Hudson Valley Region, 51-2028,,730,38330,37310,26470,44260
10,6,Mohawk Valley Region, 17-0000,Architecture and Engineering Occupations,1750,79660,73640,46170,96410
10,7,New York City Region, 35-1012,First-Line Supervisors of Food Preparation and Serving Workers,18720,44220,41330,25910,53380
10,4,Hudson Valley Region, 51-0000,Production Occupations,31120,41890,35800,23380,51140
10,6,Mohawk Valley Region, 51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",100,34260,32600,27070,37850
10,9,Southern Tier Region, 27-4021, Photographers,80,54030,36850,27420,67340
10,10,Western New York Region, 39-9021, Personal Care Aides,9920,26940,24620,22660,29080
10,2,Central New York Region, 39-9011, Childcare Workers,1440,25130,23660,21632,26920
10,3,Finger Lakes Region, 25-1199,"Postsecondary Teachers, All Other",1120,136160,109320,61400,173540
10,6,Mohawk Valley Region, 35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",830,24190,22070,21632,25870
10,6,Mohawk Valley Region, 31-9096,Veterinary Assistants and Laboratory Animal Caretakers,n/a,40130,44040,23020,48690
10,8,North Country Region, 41-3021, Insurance Sales Agents,210,63930,43700,33100,79340
10,1,Capital Region, 47-5051," Rock Splitters, Quarry",n/a,29710,29220,28510,30310
1,36,New York State, 39-3092, Costume Attendants,1120,77290,79980,40680,95600
10,9,Southern Tier Region, 13-2099," Financial Specialists, All Other",n/a,64480,67010,44420,74510
10,2,Central New York Region, 25-2011," Preschool Teachers, Except Special Education",1110,30460,26100,22190,34590
10,4,Hudson Valley Region, 41-3021, Insurance Sales Agents,1990,85280,57180,30330,112750
10,8,North Country Region, 25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,30,69100,66890,48400,79440
10,9,Southern Tier Region, 25-1194," Vocational Education Teachers, Postsecondary",250,64650,60930,41960,76000
10,6,Mohawk Valley Region, 43-6012, Legal Secretaries,250,39940,37330,25450,47180
10,4,Hudson Valley Region, 33-9093, Transportation Security Screeners,n/a,45470,44190,40520,47940
10,2,Central New York Region, 13-2052, Personal Financial Advisors,440,71190,50790,38640,87460
10,3,Finger Lakes Region, 27-3091, Interpreters and Translators,240,45180,41940,34210,50670
10,6,Mohawk Valley Region, 35-3011, Bartenders,1390,29510,24170,21632,33780
10,10,Western New York Region, 17-3011, Architectural and Civil Drafters,260,50430,47980,34960,58160
10,5,Long Island Region, 47-2221, Structural Iron and Steel Workers,1210,101780,97960,91060,107130
1,36,New York State, 29-2041, Emergency Medical Technicians and Paramedics,15290,42580,40890,28290,49730
10,1,Capital Region, 47-1011,Supervisors of Construction and Extraction Workers,1790,70450,67500,47990,81680
10,1,Capital Region, 27-3041, Editors,600,53490,42890,27410,66530
1,36,New York State, 13-1111, Management Analysts,42510,113000,96680,59280,139860
1,36,New York State, 19-2012, Physicists,990,133350,122580,67590,166220
1,36,New York State, 29-2091, Orthotists and Prosthetists,510,83600,79230,46310,102240
10,5,Long Island Region, 43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,410,37650,34490,26420,43260
10,7,New York City Region, 19-3094, Political Scientists,n/a,123820,124670,87490,141980
10,9,Southern Tier Region, 31-2022, Physical Therapist Aides,n/a,30030,28930,23100,33490
10,7,New York City Region, 17-3027, Mechanical Engineering Technicians,n/a,70210,69510,48880,80880
10,1,Capital Region, 39-2011, Animal Trainers,n/a,34530,30020,23530,40030
10,3,Finger Lakes Region, 25-1021," Computer Science Teachers, Postsecondary",250,99510,74580,45930,126310
1,36,New York State, 51-6031, Sewing Machine Operators,11190,28560,24190,21632,32470
10,2,Central New York Region, 23-1011, Lawyers,1270,96750,87030,53150,118550
10,4,Hudson Valley Region, 43-4061," Eligibility Interviewers, Government Programs",960,64180,65520,48600,71970
10,5,Long Island Region, 19-3093, Historians,n/a,61140,56590,28510,77450
10,4,Hudson Valley Region, 43-9022, Word Processors and Typists,n/a,48900,49500,37500,54600
10,6,Mohawk Valley Region, 25-4021, Librarians,290,54870,53500,32070,66270
10,3,Finger Lakes Region, 25-1066," Psychology Teachers, Postsecondary",230,98300,70310,40800,127050
1,36,New York State, 27-1012, Craft Artists,n/a,58290,49570,31490,71690
10,2,Central New York Region, 47-5021," Earth Drillers, Except Oil and Gas",n/a,61490,61530,60100,62180
1,36,New York State, 39-3019," Gaming Service Workers, All Other",n/a,28200,26680,23240,30680
10,2,Central New York Region, 51-6021," Pressers, Textile, Garment, and Related Materials",n/a,24780,24180,21632,26710
10,2,Central New York Region, 53-1048,,940,54780,53820,36620,63860
10,6,Mohawk Valley Region, 39-4021, Funeral Attendants,130,29640,24260,21632,33750
10,9,Southern Tier Region, 29-2061, Licensed Practical and Licensed Vocational Nurses,1680,41100,39830,33910,44700
10,2,Central New York Region, 49-9031, Home Appliance Repairers,n/a,42660,45070,31580,48200
10,5,Long Island Region, 53-3022," Bus Drivers, School or Special Client",9640,43440,43760,33670,48320
10,9,Southern Tier Region, 29-2033, Nuclear Medicine Technologists,n/a,77040,76820,62620,84260
10,5,Long Island Region, 41-3041, Travel Agents,870,40390,36210,27280,46950
10,7,New York City Region, 31-1014, Nursing Assistants,36800,40130,40050,33070,43670
10,3,Finger Lakes Region, 31-9096,Veterinary Assistants and Laboratory Animal Caretakers,240,30950,29280,24420,34210
10,5,Long Island Region, 25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",n/a,67680,65980,49330,76850
1,36,New York State, 25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1420,64000,55380,34600,78690
10,7,New York City Region, 33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service",3690,30930,30660,24960,34930
10,3,Finger Lakes Region, 41-9041, Telemarketers,500,31690,23870,21632,36850
10,6,Mohawk Valley Region, 29-2053, Psychiatric Technicians,50,64890,68020,50540,72070
10,1,Capital Region, 29-2071,Medical Records and Health Information Technicians,710,41350,38410,29160,47450
10,5,Long Island Region, 51-9198, Helpers--Production Workers,1220,28990,25970,22880,32630
10,4,Hudson Valley Region, 25-1067," Sociology Teachers, Postsecondary",110,74390,62590,47140,88010
1,36,New York State, 33-2011, Firefighters,9680,72580,75570,55480,81130
1,36,New York State, 39-3011, Gaming Dealers,1280,21632,21632,21632,21730
10,7,New York City Region, 53-7051, Industrial Truck and Tractor Operators,3410,47970,43490,29630,57140
10,6,Mohawk Valley Region, 41-3021, Insurance Sales Agents,420,84140,61760,40930,105750
10,10,Western New York Region, 19-4011, Agricultural and Food Science Technicians,100,31190,25450,22890,35340
10,7,New York City Region, 43-5052, Postal Service Mail Carriers,9040,51270,61250,36020,58900
10,10,Western New York Region, 11-9151, Social and Community Service Managers,840,72180,69150,47270,84640
10,8,North Country Region, 37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,190,47640,47100,34080,54430
10,7,New York City Region, 23-1011, Lawyers,50200,188850,169790,86420,240060
10,9,Southern Tier Region, 41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",340,107490,96000,55880,133290
10,9,Southern Tier Region, 15-1132," Software Developers, Applications",1160,93570,90870,59140,110790
10,2,Central New York Region, 21-1094, Community Health Workers,180,41840,38500,30170,47680
1,36,New York State, 27-4014, Sound Engineering Technicians,1820,81640,72440,42580,101170
10,8,North Country Region, 27-4012, Broadcast Technicians,20,35780,21632,21632,43420
10,6,Mohawk Valley Region, 25-2012," Kindergarten Teachers, Except Special Education",210,64500,61200,49430,72040
10,10,Western New York Region, 53-7021, Crane and Tower Operators,160,82240,80210,45350,100690
10,2,Central New York Region, 25-3098,Substitute teachers,2650,34330,32510,24020,39490
10,1,Capital Region, 45-4022, Logging Equipment Operators,60,41500,42310,31950,46280
10,9,Southern Tier Region, 27-1014, Multimedia Artists and Animators,n/a,76820,72950,57250,86600
10,10,Western New York Region, 43-4199," Information and Record Clerks, All Other",500,40800,39930,31780,45300
10,10,Western New York Region, 11-9032,"Education Administrators, Elementary and Secondary School",1230,95870,95200,65530,111040
10,9,Southern Tier Region, 29-1071, Physician Assistants,180,118280,116810,91660,131600
10,2,Central New York Region, 43-5051, Postal Service Clerks,260,49450,45540,37310,55520
10,1,Capital Region, 47-4041, Hazardous Materials Removal Workers,350,54300,49080,34730,64090
10,1,Capital Region, 17-2071, Electrical Engineers,1520,105830,102440,71180,123150
10,1,Capital Region, 41-2011, Cashiers,12080,23860,22830,21632,25270
10,10,Western New York Region, 47-2161, Plasterers and Stucco Masons,n/a,58850,53040,46510,65020
10,6,Mohawk Valley Region, 17-3022, Civil Engineering Technicians,n/a,56430,56960,48060,60620
10,8,North Country Region, 49-3041, Farm Equipment Mechanics and Service Technicians,80,37440,38070,25620,43350
10,5,Long Island Region, 13-2041, Credit Analysts,810,85480,71090,46010,105210
10,7,New York City Region, 19-3031," Clinical, Counseling, and School Psychologists",4670,99150,94700,58900,119270
10,2,Central New York Region, 19-1012, Food Scientists and Technologists,n/a,42620,38010,36470,45700
10,10,Western New York Region, 51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",240,41650,41430,29790,47580
10,7,New York City Region, 49-9041, Industrial Machinery Mechanics,1470,64950,60340,40470,77180
10,6,Mohawk Valley Region, 51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",n/a,31810,29910,27830,33810
1,36,New York State, 43-4141, New Accounts Clerks,810,44810,39650,29380,52530
10,8,North Country Region, 25-2021,"Elementary School Teachers, Except Special Education",1580,59790,58990,42630,68370
10,3,Finger Lakes Region, 19-4031, Chemical Technicians,130,53400,50020,38090,61060
10,7,New York City Region, 25-1069,"Social Sciences Teachers, Postsecondary, All Other",1300,116740,103160,59190,145520
10,5,Long Island Region, 37-3011, Landscaping and Groundskeeping Workers,13650,34960,32420,24760,40050
1,36,New York State, 11-3071,"Transportation, Storage, and Distribution Managers",3620,115950,111760,77310,135270
1,36,New York State, 17-2061, Computer Hardware Engineers,1300,115990,115790,75180,136400
10,9,Southern Tier Region, 25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",2700,65330,60940,46050,74960
10,7,New York City Region, 15-1134, Web Developers,8480,89750,80800,50780,109230
10,7,New York City Region, 47-4031, Fence Erectors,n/a,72260,64400,55210,80790
10,8,North Country Region, 31-1014, Nursing Assistants,2120,29250,27920,23170,32290
10,7,New York City Region, 41-9022, Real Estate Sales Agents,2870,118130,102990,58960,147720
10,2,Central New York Region, 31-1013, Psychiatric Aides,160,40220,40880,30990,44840
10,3,Finger Lakes Region, 51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",2700,39940,37370,25640,47090
10,2,Central New York Region, 43-4081," Hotel, Motel, and Resort Desk Clerks",690,27420,23380,21632,30350
10,2,Central New York Region, 25-2052,"Special Education Teachers, Kindergarten and Elementary School",590,67210,67040,52640,74500
10,8,North Country Region, 49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",290,47460,46210,34480,53940
10,2,Central New York Region, 35-0000,Food Preparation and Serving Related Occupations,31360,25710,22940,21632,28080
10,7,New York City Region, 49-9064, Watch Repairers,n/a,36490,29380,24960,43910
10,2,Central New York Region, 29-2081," Opticians, Dispensing",190,50080,53000,33550,58350
10,2,Central New York Region, 21-1023, Mental Health and Substance Abuse Social Workers,430,57210,56840,39170,66230
10,3,Finger Lakes Region, 27-4012, Broadcast Technicians,80,39080,35570,22440,47400
10,9,Southern Tier Region, 27-3091, Interpreters and Translators,n/a,49310,47840,46010,50970
10,9,Southern Tier Region, 27-1025, Interior Designers,60,54190,47950,34540,64010
1,36,New York State, 29-2034, Radiologic Technologists,12320,69780,69520,50470,79440
10,3,Finger Lakes Region, 15-1141, Database Administrators,370,84590,84800,50750,101510
10,8,North Country Region, 47-2081, Drywall and Ceiling Tile Installers,n/a,34640,34750,26820,38550
10,10,Western New York Region, 21-1093, Social and Human Service Assistants,2490,32400,29890,22860,37180
10,5,Long Island Region, 43-6013, Medical Secretaries,1470,43530,42030,32650,48970
10,7,New York City Region, 49-9094, Locksmiths and Safe Repairers,480,51560,50120,30460,62110
10,10,Western New York Region, 47-4051, Highway Maintenance Workers,1920,44880,45080,34070,50280
1,36,New York State, 33-9091, Crossing Guards,7890,34470,35380,25500,38950
10,2,Central New York Region, 25-1011," Business Teachers, Postsecondary",370,82620,79260,46410,100720
1,36,New York State, 29-1029," Dentists, All Other Specialists",370,203230,183800,110340,249680
10,1,Capital Region, 47-2181, Roofers,430,45110,44510,33320,51010
10,8,North Country Region, 29-2081," Opticians, Dispensing",110,45510,45560,30710,52900
1,36,New York State, 39-5093, Shampooers,1500,23080,21632,21632,24220
10,6,Mohawk Valley Region, 35-2015," Cooks, Short Order",560,23100,22320,21632,24010
10,10,Western New York Region, 53-7011, Conveyor Operators and Tenders,n/a,45520,47600,40200,48190
10,4,Hudson Valley Region, 47-2031, Carpenters,7310,69910,63170,39380,85180
10,2,Central New York Region, 51-9011, Chemical Equipment Operators and Tenders,110,39060,38290,32690,42250
10,2,Central New York Region, 29-1071, Physician Assistants,610,108850,110960,86650,119950
10,6,Mohawk Valley Region, 51-4121," Welders, Cutters, Solderers, and Brazers",380,42270,38910,30940,47930
10,2,Central New York Region, 17-2199," Engineers, All Other",370,100970,100240,65710,118610
10,2,Central New York Region, 51-4051, Metal-Refining Furnace Operators and Tenders,n/a,48160,48390,47100,48690
10,5,Long Island Region, 51-9071, Jewelers and Precious Stone and Metal Workers,220,40760,40960,24880,48700
10,1,Capital Region, 21-1094, Community Health Workers,430,54830,49340,29780,67350
10,8,North Country Region, 47-1011,Supervisors of Construction and Extraction Workers,570,68520,65120,45210,80170
10,1,Capital Region, 25-4011, Archivists,n/a,58190,50920,40020,67270
10,6,Mohawk Valley Region, 27-3091, Interpreters and Translators,110,35720,35920,32220,37470
10,9,Southern Tier Region, 39-2021, Nonfarm Animal Caretakers,430,25580,23150,21632,27860
10,7,New York City Region, 53-5021,"Captains, Mates, and Pilots of Water Vessels",1000,98460,94180,70720,112330
10,1,Capital Region, 43-9061," Office Clerks, General",12050,35160,34120,24600,40440
10,10,Western New York Region, 51-9198, Helpers--Production Workers,860,28530,26490,21900,31840
10,3,Finger Lakes Region, 11-3071,"Transportation, Storage, and Distribution Managers",150,105240,90920,67930,123890
10,10,Western New York Region, 47-4071, Septic Tank Servicers and Sewer Pipe Cleaners,n/a,40940,39390,26840,48000
10,1,Capital Region, 19-4021, Biological Technicians,460,48790,44510,33290,56540
10,1,Capital Region, 51-9151,Photographic Process Workers and Processing Machine Operators,n/a,38800,35280,23810,46290
10,5,Long Island Region, 49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",170,87640,91910,74880,94020
10,10,Western New York Region, 29-1151, Nurse Anesthetists,n/a,181490,167040,116560,213960
