SOC,Occupation,Probability,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
11-9199,Managers; All Other,0.25,2010,1460,7170,3540,44750,7550,5820,870,18510,15880,10900,2110,1220,0,9060,3360,3380,3580,6980,1090,11900,6260,8140,10760,990,5850,1120,1820,5910,2180,21280,2650,14630,10630,1150,10170,1700,7710,9620,820,1620,300,7570,15350,2190,560,16770,9200,950,10500,840
13-1011,Agents and Business Managers of Artists; Performers; and Athletes,0.24,0,0,140,0,4990,90,170,0,180,970,190,0,0,170,120,0,30,30,0,0,200,210,250,180,0,0,0,0,120,0,200,0,3050,280,0,90,0,70,140,0,0,0,530,330,0,0,130,0,0,70,0
13-1021,Buyers and Purchasing Agents; Farm Products,0.87,250,0,0,90,1350,90,40,0,0,290,490,90,110,470,240,340,290,120,230,0,170,310,440,370,60,350,60,0,70,0,90,60,300,240,120,310,200,200,260,0,140,300,130,770,110,100,0,190,0,310,0
13-1022,Wholesale and Retail Buyers; Except Farm Products,0.29,310,340,1850,3080,18330,1500,1150,240,160,3830,2630,630,560,4010,1610,680,1690,830,910,840,1390,3550,2060,3650,530,3130,320,860,700,480,2120,210,8130,2780,260,4340,1300,2410,3040,310,600,200,3260,9290,1310,400,0,3460,250,2460,140
13-1023,Purchasing Agents; Except Wholesale; Retail; and Farm Products,0.77,6240,670,5030,1380,33720,6050,4240,760,2630,15820,8060,1040,1140,10150,6210,2480,3410,3390,2660,910,6850,6060,11710,6250,1570,4760,710,1640,1880,1490,8540,1770,14740,8160,630,12950,3730,3170,13500,820,3210,690,3940,27360,2540,540,12520,11780,700,7100,320
13-1031,Claims Adjusters; Examiners; and Investigators,0.98,3730,290,0,1450,32540,3340,4980,430,560,20020,8610,730,940,11180,3630,3020,3030,3870,3040,1690,6030,7250,5650,4790,1240,6950,0,2420,1500,1600,9490,910,20520,7860,650,9840,3310,3010,14240,1400,2480,710,5720,19650,1910,240,5110,5730,1340,6230,150
13-1032,Insurance Appraisers; Auto Damage,0.98,0,0,460,0,0,90,210,0,0,1380,470,50,0,390,180,70,300,40,120,90,450,440,190,70,30,260,30,0,0,60,0,0,810,210,0,590,190,70,570,0,0,30,150,1840,70,0,540,270,0,70,0
13-1041,Compliance Officers,0.08,1400,720,0,2290,34290,5080,3750,990,4520,16260,7980,1240,1300,8200,3770,2010,2800,2410,4460,1030,6750,7070,5640,4870,2250,4760,930,2900,2000,1250,9600,1480,21130,6390,1110,7110,3880,2790,11360,570,3090,940,5010,23760,2550,2200,7520,7950,1110,3840,400
13-1051,Cost Estimators,0.57,2180,320,5250,1140,26570,4690,2280,980,530,13240,5260,1200,1150,6750,4510,2100,2060,2090,2300,840,4830,5830,6480,4120,950,4940,1050,1340,1810,810,5100,980,9840,6810,630,11180,1700,2900,9360,580,2730,730,3290,17070,2470,350,9150,5900,780,5180,260
13-1074,Farm Labor Contractors,0.97,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-1078,Human Resources; Training; and Labor Relations Specialists; All Other,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-1081,Logisticians,0.012,3460,280,2330,1390,16530,3030,0,0,1330,6150,5240,430,410,6450,2000,1270,1370,1670,870,280,4640,2390,7500,2690,660,2590,140,590,340,470,5980,670,2960,4090,320,5910,2220,1570,6150,410,2990,110,2390,13280,2370,150,7020,5920,280,2940,90
13-1111,Management Analysts,0.13,4590,670,10430,3520,102850,8830,8120,2220,19820,42770,22730,2190,2090,34280,10940,4200,4410,3490,3600,1110,18450,22540,0,12480,1480,6510,690,2370,2940,1900,12720,2480,40000,15220,560,17430,4430,5710,22750,2720,6720,2380,6350,35330,5610,620,46670,17110,1860,10170,370
13-1121,Meeting; Convention; and Event Planners,0.037,400,110,1850,410,12830,2880,700,230,2630,6470,2420,520,430,4220,1150,840,610,700,500,240,2850,2310,2070,1520,270,1790,410,450,1090,400,2760,420,9160,2320,200,2160,1010,1320,3040,350,1290,250,1400,7000,820,280,3900,0,230,1520,180
13-1141,Compensation; Benefits; and Job Analysis Specialists,0.47,590,160,1880,660,10650,1140,1070,170,520,3870,2760,250,240,2650,970,480,450,720,1240,340,1970,2250,1620,1870,310,1420,170,570,370,250,2300,190,8910,2450,140,3050,770,880,3240,250,820,590,1740,5730,510,190,2340,1720,260,1450,60
13-1151,Training and Development Specialists,0.014,2670,0,7710,2740,26660,5370,3270,990,1460,14800,9690,940,1030,9730,5460,2720,3330,3030,2100,950,7060,6800,5370,6320,1330,5270,650,2360,2500,1050,6350,1810,18950,8860,650,9090,2760,3160,10310,810,3940,510,5450,23370,4560,670,10800,5780,920,6270,390
13-1161,Market Research Analysts and Marketing Specialists,0.61,3110,450,10180,3170,91340,14740,7220,1950,5420,26860,19000,970,1450,22050,8440,4470,5000,3890,2350,750,9980,20300,14790,13740,1510,9980,870,2950,0,1940,16100,1230,56860,15740,760,21350,3340,5540,24490,1520,0,630,7180,29320,6250,1520,18500,16230,830,11210,350
13-1199,Business Operations Specialists; All Other,0.23,6870,2830,12320,9220,138000,40420,7870,1190,31000,77000,34010,4770,2660,54880,13600,10270,8330,8280,17430,3430,21060,11550,26280,24500,3220,14710,3200,4540,6220,3570,44410,7240,23420,34370,2550,33180,4750,15260,15900,2160,3970,730,12880,67810,7710,930,30530,32530,2740,11140,1220
13-2011,Accountants and Auditors,0.94,15360,2350,20200,5980,147320,34150,15480,5890,11080,75640,36360,4840,3970,51350,20010,9630,12010,10610,11010,4390,26510,35730,30510,27130,5480,24130,3140,8700,7610,4780,36640,6580,108800,31080,3870,42890,14150,12050,52590,4550,14470,4540,16430,118320,10600,3050,40220,27370,3840,21300,1840
13-2021,Appraisers and Assessors of Real Estate,0.9,710,150,1150,600,4220,1690,660,180,0,4170,2820,290,400,2090,1710,640,720,400,630,380,1470,1420,2530,2160,380,1780,330,520,690,210,1520,690,3370,1480,110,1720,760,800,1570,320,870,280,900,5750,910,130,1480,880,760,860,240
13-2031,Budget Analysts,0.94,860,290,1150,430,7080,1140,1000,140,1960,2910,1400,260,170,1400,500,280,0,1180,430,150,2230,2060,870,430,410,720,220,310,300,90,2380,620,3430,960,120,0,790,700,1450,170,310,130,460,4930,310,80,3610,1310,210,0,110
13-2041,Credit Analysts,0.98,490,0,1130,520,7910,1300,1240,1150,220,2780,1830,80,240,2930,800,1190,570,500,300,190,0,1940,1230,3460,380,1330,130,520,0,150,0,160,7630,2910,190,2810,560,610,2400,0,810,380,1180,7940,830,100,1840,900,100,1850,40
13-2051,Financial Analysts,0.23,1420,350,6380,910,34100,3570,6040,3570,3010,10990,6900,390,420,13840,2530,1850,1180,1300,820,420,5970,13700,5800,6480,530,3730,160,2050,770,0,7960,580,49050,7720,280,8850,1510,2380,10830,1070,1650,500,3690,23710,2170,170,0,5740,370,4460,90
13-2052,Personal Financial Advisors,0.58,2060,130,3890,910,24580,3950,4300,570,500,11270,5390,460,680,12890,3900,1710,1870,1540,1250,410,5110,6520,4580,3810,770,4280,370,1080,710,700,6800,510,27790,5500,500,5670,1170,1870,8350,0,1680,350,2330,12660,1920,350,4560,3890,460,4370,200
13-2053,Insurance Underwriters,0.99,960,120,1470,200,7440,1390,3160,200,0,4300,6050,280,190,5390,1060,1760,0,330,1240,410,1930,3230,1760,1750,280,2090,130,1590,300,370,3580,140,7860,2390,350,4860,530,730,4900,420,910,270,880,5660,460,190,2280,1970,170,2290,90
13-2061,Financial Examiners,0.17,1030,80,0,180,4300,1030,560,0,550,2930,770,90,130,2030,410,930,330,480,230,160,440,1530,690,1400,150,1790,90,240,180,160,2130,100,5140,2190,150,3330,460,490,1640,360,300,180,620,3600,400,50,1710,410,100,1400,0
13-2071,Credit Counselors,0.04,80,0,0,50,4310,120,0,180,90,3050,380,40,100,1460,230,410,80,0,0,240,670,1390,890,670,280,600,80,0,80,260,0,250,1910,440,60,910,560,460,1980,180,280,60,0,2360,390,40,590,410,190,330,0
13-2072,Loan Officers,0.98,3740,700,9840,2360,38100,5320,2200,940,650,21060,7650,1160,2520,13380,4640,5180,3900,4140,3670,1260,4540,5330,0,7540,2250,7350,1400,2980,2200,1070,6570,1210,11250,12690,1220,11980,4230,3640,11800,1230,4200,1580,6380,22400,4550,570,9170,6710,820,6800,730
13-2081,Tax Examiners and Collectors; and Revenue Agents,0.93,1110,70,560,520,8870,680,1020,100,0,4220,2160,100,290,1490,580,190,0,1910,610,290,480,1650,600,1080,390,2170,130,220,240,320,1450,260,5270,1530,80,1640,420,540,3320,320,280,140,1200,4000,1860,100,1410,1090,460,510,0
13-2082,Tax Preparers,0.99,590,240,1500,630,10590,1140,690,100,200,3500,3320,230,260,0,2020,690,610,1060,1050,360,660,1440,2440,1080,540,1240,230,210,470,250,1320,340,2380,1810,110,2040,1360,1400,1750,250,980,260,1310,6850,790,0,2200,0,310,750,50
13-2099,Financial Specialists; All Other,0.33,740,370,1460,310,14390,3410,1060,560,3180,6550,4090,660,380,6850,2060,1360,500,1420,1140,360,4900,2800,4890,3330,500,0,280,260,1150,530,6590,990,4230,3630,340,5360,660,1280,4000,690,870,70,1590,9090,980,120,4380,3430,580,1710,90
15-1111,Computer and Information Research Scientists,0.015,310,0,200,0,4950,310,80,0,640,500,730,120,0,900,0,0,90,0,60,0,2490,1180,380,360,230,240,40,40,0,170,1530,890,920,170,0,170,460,250,410,430,320,0,140,1810,680,0,2550,0,0,0,0
15-1121,Computer Systems Analysts,0.0065,4020,580,15150,2790,75750,8770,7120,3500,4460,18050,17000,1190,1230,29390,8310,5660,5010,4140,1900,1720,15760,14130,15250,15660,1750,11330,620,3430,1800,2300,14130,1490,38220,22940,680,27200,2930,4830,21630,1820,5940,700,7250,58680,3800,480,26480,18130,860,12800,170
15-1131,Computer Programmers,0.48,6590,570,4700,3540,37570,2930,5850,900,1370,11690,8820,510,660,13350,4340,1330,1910,1260,2430,810,5300,6880,3730,7180,700,7240,670,2850,1880,1490,13080,610,17790,6760,570,5460,1610,3330,13030,1150,3320,740,4110,20430,4210,420,8780,10280,630,5660,210
15-1132,Software Developers; Applications,0.042,5500,360,13970,2120,129180,25450,9240,3470,2330,33070,25630,790,2240,26180,8460,6900,5330,5080,1420,1630,12890,31150,20090,14760,860,13510,660,4920,2440,4950,42050,1230,49350,24090,1220,33330,4320,12530,26230,2180,3580,1140,6060,60550,9700,1040,34790,49010,880,15850,250
15-1133,Software Developers; Systems Software,0.13,4000,120,11430,1020,90290,13650,4790,0,3040,15520,13660,730,1240,12570,3540,2430,2850,1960,1180,310,15640,27630,12040,8990,850,4430,450,2180,890,1410,11390,1780,19020,8260,580,5650,2260,3470,10010,1110,2530,490,3980,30850,3890,880,24950,13960,580,3650,0
15-1141,Database Administrators,0.03,1600,210,2770,700,12370,2430,1400,610,950,7310,4940,260,410,4450,1750,690,980,1130,510,300,3660,2940,2680,2420,360,2360,190,910,710,430,3310,400,6650,2780,170,4190,830,1000,5680,430,1070,100,1220,12010,940,230,5830,2070,430,1770,190
15-1142,Network and Computer Systems Administrators,0.03,4410,1010,7060,3140,42450,10880,3530,1230,2710,17420,11310,1390,1440,14170,7590,3590,5040,3280,2780,1510,14340,10260,8450,9180,1140,8180,650,2920,1330,1940,11620,1970,24600,11740,690,13760,2680,3220,14010,1750,5160,1650,5430,32090,3560,1360,19470,9080,1110,7010,530
15-1150,Computer Support Specialists,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-1179,Information Security Analysts; Web Developers; and Computer Network Architects,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-1799,Computer Occupations; All Other,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-2011,Actuaries,0.21,60,0,200,60,1410,260,850,70,180,580,260,0,40,1590,230,710,490,0,0,130,420,1100,420,400,50,460,0,290,0,100,810,30,2410,380,0,990,40,110,1530,190,90,0,80,1180,140,0,200,350,0,660,0
15-2021,Mathematicians,0.047,0,0,0,0,720,30,0,0,70,110,0,0,0,140,0,0,0,0,0,0,160,70,0,0,0,0,0,0,0,0,70,60,40,0,0,40,0,0,40,60,0,0,0,130,0,0,470,0,0,0,0
15-2031,Operations Research Analysts,0.035,720,130,4370,550,14590,1030,1420,860,910,6340,2510,320,390,8360,1390,570,1160,930,1120,330,3880,4590,1580,2530,220,990,110,740,350,0,1640,350,5710,2300,130,3790,620,1100,2500,460,920,0,1770,10620,780,60,7930,3060,230,1440,0
15-2041,Statisticians,0.22,170,50,810,170,4120,450,500,120,1430,830,730,0,50,1270,660,200,230,90,50,100,3000,2640,660,890,60,890,40,200,90,130,700,80,1040,1170,70,670,280,560,2510,30,390,0,600,1590,210,40,1120,1040,130,470,0
15-2091,Mathematical Technicians,0.99,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0
17-1011,Architects; Except Landscape and Naval,0.018,1110,210,1510,560,13560,3210,1060,170,1930,4800,2380,620,280,4790,1120,480,840,750,1090,200,2350,3050,2130,1830,270,1960,430,660,360,180,1790,520,12550,2010,260,2820,700,1620,3780,280,1050,100,990,8520,760,250,2960,3520,160,1220,120
17-1012,Landscape Architects,0.045,40,30,360,100,2700,310,230,0,50,1470,880,140,40,400,240,220,170,110,140,0,400,770,490,280,0,310,30,70,0,0,520,0,1470,440,50,760,140,480,650,100,340,110,180,1460,200,130,690,750,40,560,0
17-1021,Cartographers and Photogrammetrists,0.88,170,150,240,60,1570,870,80,0,0,520,140,50,180,270,90,0,140,110,0,60,470,90,360,250,40,170,100,70,130,120,180,80,170,520,40,90,110,480,210,0,350,90,140,1590,140,40,440,400,40,240,90
17-1022,Surveyors,0.38,570,310,670,590,4220,1390,500,80,0,3320,940,200,290,1070,920,350,520,530,920,230,890,1100,1210,760,520,700,330,330,410,240,1260,340,1670,960,370,1040,700,620,1580,80,860,140,800,4250,660,100,1470,850,460,720,260
17-2011,Aerospace Engineers,0.017,4470,0,1910,0,10800,2410,1780,0,310,2490,2620,0,0,370,210,0,2370,130,0,0,3180,1080,1330,340,110,0,40,110,360,70,1750,730,380,710,0,4890,1170,110,1200,0,0,0,310,7450,800,0,2350,0,160,0,0
17-2021,Agricultural Engineers,0.49,0,0,0,40,370,30,0,0,0,140,100,0,0,40,70,150,30,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,90,0,0,90,0,0,0,0,100,60,0,0,0,0,0,0
17-2031,Biomedical Engineers,0.037,0,0,750,50,4760,510,170,0,50,650,340,0,0,350,780,80,0,70,50,40,660,2880,220,1160,0,160,0,30,0,90,390,100,780,360,0,680,70,320,1010,0,70,0,300,1090,580,0,230,300,50,180,0
17-2041,Chemical Engineers,0.017,510,0,120,110,2390,630,280,500,80,420,570,0,70,720,400,200,130,480,2380,60,710,1010,670,450,150,590,0,140,50,130,1300,90,1130,790,30,1430,350,210,1530,0,690,0,690,6970,120,0,1130,450,280,530,90
17-2051,Civil Engineers,0.019,3970,1210,4870,1340,38440,8650,3280,810,990,16930,9400,2150,1940,10710,2890,1970,2130,2730,3170,1060,7610,7370,7590,4230,1630,4420,1590,1410,1900,1350,7450,1330,15450,7170,1200,7700,2200,3950,12490,780,5400,1110,4990,26580,3250,740,9410,11270,1390,5390,810
17-2061,Computer Hardware Engineers,0.22,1460,70,670,190,25790,3700,340,0,420,2100,1370,180,330,1430,310,280,430,0,210,0,3690,2960,1470,1600,290,220,0,400,180,270,690,0,1640,1560,0,1070,150,0,1190,190,310,0,730,3590,1330,30,1380,1810,190,890,0
17-2071,Electrical Engineers,0.1,4330,360,4120,880,25320,3630,2340,410,460,6250,4230,900,1230,5500,3420,1320,2070,1300,1380,430,4730,8350,9780,3990,950,3530,500,940,690,1710,4190,2020,11280,5100,560,6200,1230,2510,6980,430,2060,280,2440,14850,1560,490,6340,5540,490,3850,330
17-2072,Electronics Engineers; Except Computer,0.025,2250,150,5490,300,27690,5940,0,120,0,5220,5830,470,0,3120,2640,300,980,550,730,210,4750,3780,3030,1500,520,1920,90,200,820,500,3770,1160,3450,2990,90,3710,1840,1800,3450,1160,1310,120,1000,12900,1520,70,4770,3560,240,950,100
17-2081,Environmental Engineers,0.018,760,460,690,190,7360,1810,680,170,310,2530,1790,190,530,1590,520,330,430,400,490,200,1340,2630,1490,900,400,950,340,370,310,150,1490,410,3300,1180,160,1210,710,620,3250,200,790,90,1130,2910,400,100,1200,1560,320,720,240
17-2111,Health and Safety Engineers; Except Mining Safety Engineers and Inspectors,0.028,410,230,400,200,2790,430,140,120,160,910,1260,160,120,660,470,140,180,190,650,80,720,640,690,490,150,420,100,80,290,70,370,300,1830,490,70,530,550,160,930,0,620,80,850,2990,230,70,610,520,130,710,0
17-2112,Industrial Engineers,0.029,4930,60,4200,1500,24390,3260,4570,480,240,9750,6310,60,910,13270,8870,2530,2210,4590,1750,690,2660,8340,26660,8660,1630,4600,200,1310,410,1310,3660,920,10290,8270,410,14720,1680,3690,9310,590,6860,530,6440,16060,1850,550,3650,7680,520,8330,200
